DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Belgium,2023,1.5,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Belgium,2024,1.5,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2007,8.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2008,11.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2009,9.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2010,9.6,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2011,11.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2012,13.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2013,8.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2014,11.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2015,10.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2016,9.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2017,8.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2018,6.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2019,6.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2020,2.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2021,4.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2022,5.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2023,7.3,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Bulgaria,2024,4.2,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2008,9.4,d,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2009,9.3,d,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2010,8.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2011,8.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2012,8.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2013,8.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2014,8.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2015,7.6,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2016,7.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2017,6.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2018,6.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2019,6.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2020,7.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2021,7.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2022,7.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2023,7.5,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Switzerland,2024,6,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2008,23.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2009,23.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2010,22.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2011,20.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2012,18.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2013,17.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2014,16.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2015,16.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2016,16.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2017,17.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2018,17.6,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2019,15.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2020,14.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2021,11.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2022,8.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2023,7.1,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Cyprus,2024,7.2,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Czechia,2008,16.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Czechia,2009,16.6,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Czechia,2010,8.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Czechia,2011,6.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Czechia,2012,5.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Czechia,2013,5.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Czechia,2014,5.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Accommodation and food service activities,Czechia,2015,7.6,d,
